group,model_pair,method_name,implementation,target_verify_mode,temperature,top_k,top_p,stochastic_seed,rtt_ms,method_time,target_only_time,speedup_vs_target_only,accept_rate,rounds,generated_tokens,accepted_tokens,drafted_tokens,drafted_tokens_per_round,accepted_tokens_per_round
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,0.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,5.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,10.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,20.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,50.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,100.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,150.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,sequential,1.0,20,0.9,123,200.0,0.9318089238678416,0.9318089238678416,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,0.0,7.148416642161707,0.9318089238678416,0.1303428753945504,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,5.0,7.504217876431842,0.9318089238678416,0.1242265119570712,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,10.0,7.696121648636957,0.9318089238678416,0.1210947570997465,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,20.0,8.352439401236673,0.9318089238678416,0.1115896211626691,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,50.0,9.076948067297538,0.9318089238678416,0.1027280940329357,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,100.0,10.847135823654632,0.9318089238678416,0.0859505420572095,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,150.0,12.64752373471856,0.9318089238678416,0.0736684798159459,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,sequential,1.0,20,0.9,123,200.0,14.352027679172656,0.9318089238678416,0.0649117976340185,0.0,32.0,32.0,0.0,122.0,3.8125,0.0
