method_name,implementation,target_verify_mode,model_pair,target,draft,prompt_id,repeat,rtt_ms,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,max_new_tokens,draft_k,tree_width,generated_tokens,accepted_tokens,drafted_tokens,accept_rate,rounds,target_only_time,method_time,speedup_vs_target_only,matched_target_only,first_diff_index,extra_json,prefill_time,draft_generate_time,draft_structure_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,cloud_verify_time,target_verify_time,posterior_accept_time,cache_update_time,sampling_time,wasted_branch_time_or_tokens,total_decode_time
target-only,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.8804406058043242,0.8804406058043242,1.0,True,-1,{},0.05032508075237274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8133842349052429,0.8133842349052429,0.0,0.005683813244104385,0.00873919390141964,0.0,0.8804406058043242
vanilla-spec,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,20,52,0.38461538461538464,13,0.8804406058043242,3.2426587492227554,0.27151811951083665,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05209270492196083,0.8112210929393768,0.0,0.0002495999999999999,0.0,0.00016639999999999998,208.0,0.00016639999999999998,0.0,8.319999999999999e-05,104.0,1.295372935011983,1.295372935011983,8.984096348285675e-05,1.0453992243856192,0.02356819622218609,0.0,3.2426587492227554
dsd-adaptive-draft,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,19,33,0.5757575757575758,14,0.8804406058043242,2.383014878258109,0.369465005794631,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 4], ""mean_draft_k"": 2.357142857142857, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.04459013603627682,0.4062429666519165,0.0,0.00019519999999999992,0.0,0.00010559999999999998,132.0,0.00010559999999999998,0.0,8.959999999999998e-05,112.0,0.816234128549695,0.816234128549695,0.00010258704423904419,1.0870841760188341,0.014436667785048485,0.0,2.383014878258109
target-only,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.8804406058043242,0.8804406058043242,1.0,True,-1,{},0.05032508075237274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8133842349052429,0.8133842349052429,0.0,0.005683813244104385,0.00873919390141964,0.0,0.8804406058043242
vanilla-spec,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,20,52,0.38461538461538464,13,0.8804406058043242,3.322062188759446,0.26502833354035016,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.042221734300255775,0.8063639309257269,0.0,0.0652496,0.06500000000000002,0.00016639999999999998,208.0,0.00016639999999999998,0.06500000000000002,8.319999999999999e-05,104.0,1.3089646510779858,1.3089646510779858,0.00010730139911174774,1.0612960327416658,0.022247156128287315,0.0,3.322062188759446
dsd-adaptive-draft,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,19,33,0.5757575757575758,14,0.8804406058043242,2.4915424082428217,0.3533717117924801,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 4], ""mean_draft_k"": 2.357142857142857, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.06121675856411457,0.3937652222812176,0.0,0.0701952,0.07000000000000002,0.00010559999999999998,132.0,0.00010559999999999998,0.07000000000000002,8.959999999999998e-05,112.0,0.8301753532141447,0.8301753532141447,0.0001003853976726532,1.1074495129287243,0.012291856110095978,0.0,2.4915424082428217
target-only,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,10.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.8804406058043242,0.8804406058043242,1.0,True,-1,{},0.05032508075237274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8133842349052429,0.8133842349052429,0.0,0.005683813244104385,0.00873919390141964,0.0,0.8804406058043242
vanilla-spec,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,10.0,4,0.0,10.0,4,4,10.0,32,4,2,32,20,52,0.38461538461538464,13,0.8804406058043242,3.4622932616621256,0.25429405866724747,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.04192477464675903,0.8042077459394932,0.0,0.13024959999999997,0.13000000000000003,0.00016639999999999998,208.0,0.00016639999999999998,0.13000000000000003,8.319999999999999e-05,104.0,1.3153310921043158,1.3153310921043158,0.00012782402336597443,1.1336737759411335,0.019800106063485146,0.0,3.4622932616621256
dsd-adaptive-draft,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,10.0,4,0.0,10.0,4,4,10.0,32,4,2,32,19,33,0.5757575757575758,14,0.8804406058043242,2.6942683570086956,0.32678281787113106,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 4], ""mean_draft_k"": 2.357142857142857, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.042986124753952026,0.400229562073946,0.0,0.14019519999999996,0.14000000000000004,0.00010559999999999998,132.0,0.00010559999999999998,0.14000000000000004,8.959999999999998e-05,112.0,0.9193469192832708,0.9193469192832708,0.00014273636043071747,1.1618525050580502,0.012653959915041924,0.0,2.6942683570086956
target-only,kv-cache,sequential,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,20.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.8804406058043242,0.8804406058043242,1.0,True,-1,{},0.05032508075237274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8133842349052429,0.8133842349052429,0.0,0.005683813244104385,0.00873919390141964,0.0,0.8804406058043242
