method_name,implementation,target_verify_mode,model_pair,target,draft,prompt_id,repeat,rtt_ms,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,max_new_tokens,draft_k,tree_width,generated_tokens,accepted_tokens,drafted_tokens,accept_rate,rounds,target_only_time,method_time,speedup_vs_target_only,matched_target_only,requires_target_match,validation_status,stochastic_seed,seed_strategy,temperature,top_k,top_p,sampling_filter,rejected_tokens,resample_count,bonus_sample_count,mean_checked_accept_prob,mean_first_accept_prob,first_token_accept_rate,target_zero_at_draft_count,target_zero_at_draft_rate,first_diff_index,extra_json,prefill_time,draft_generate_time,draft_structure_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,cloud_verify_time,target_verify_time,posterior_accept_time,cache_update_time,probability_normalize_time,random_sample_time,accept_reject_time,resample_time,sampling_time,wasted_branch_time_or_tokens,total_decode_time
target-only-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,0.0,4,10.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9521085470914841,0.9521085470914841,1.0,True,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,"{""sampling"": ""target_only"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123}",0.02909756824374199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890121228992939,0.890121228992939,0.0,0.004056379199028015,0.017198871821165085,0.008632943034172058,0.0,0.0,0.0,0.0,0.9521085470914841
traditional-spec-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,0.0,4,10.0,10.0,4,4,10.0,32,4,2,32,6,98,0.061224489795918366,26,0.9521085470914841,4.218392645940185,0.22570410746562464,False,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,26,26,0,0.16129032380638364,0.1766435513577912,0.23076923076923078,0,0.0,7,"{""sampling"": ""traditional_speculative"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123, ""gamma"": 4, ""target_verify_mode"": ""batch"", ""upstream_reference"": ""feifeibear/LLMSpeculativeSampling sampling/speculative_sampling.py"", ""rejected_tokens"": 26, ""resample_count"": 26, ""bonus_sample_count"": 0, ""mean_checked_accept_prob"": 0.16129032380638364, ""mean_first_accept_prob"": 0.1766435513577912, ""first_token_accept_rate"": 0.23076923076923078, ""target_zero_at_draft_count"": 0, ""target_zero_at_draft_rate"": 0.0, ""state_update_mode"": ""target_only_step""}",0.04983551241457462,1.6860731169581413,0.0,0.0004799999999999997,0.0,0.00031359999999999987,392.0,0.00031359999999999987,0.0,0.0001663999999999999,208.0,0.7677225656807423,0.7677225656807423,0.0,1.5074833314865828,0.11180888302624226,0.038247689604759216,0.011494088917970657,0.004000753164291382,0.0,0.0,4.218392645940185
target-only-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,5.0,4,10.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9521085470914841,0.9521085470914841,1.0,True,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,"{""sampling"": ""target_only"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123}",0.02909756824374199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890121228992939,0.890121228992939,0.0,0.004056379199028015,0.017198871821165085,0.008632943034172058,0.0,0.0,0.0,0.0,0.9521085470914841
traditional-spec-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,5.0,4,10.0,10.0,4,4,10.0,32,4,2,32,6,98,0.061224489795918366,26,0.9521085470914841,4.540911231189966,0.20967345508799556,False,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,26,26,0,0.16129032380638364,0.1766435513577912,0.23076923076923078,0,0.0,7,"{""sampling"": ""traditional_speculative"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123, ""gamma"": 4, ""target_verify_mode"": ""batch"", ""upstream_reference"": ""feifeibear/LLMSpeculativeSampling sampling/speculative_sampling.py"", ""rejected_tokens"": 26, ""resample_count"": 26, ""bonus_sample_count"": 0, ""mean_checked_accept_prob"": 0.16129032380638364, ""mean_first_accept_prob"": 0.1766435513577912, ""first_token_accept_rate"": 0.23076923076923078, ""target_zero_at_draft_count"": 0, ""target_zero_at_draft_rate"": 0.0, ""state_update_mode"": ""target_only_step""}",0.04953203350305557,1.7055774182081223,0.0,0.13048000000000004,0.13000000000000006,0.00031359999999999987,392.0,0.00031359999999999987,0.13000000000000006,0.0001663999999999999,208.0,0.8530033994466066,0.8530033994466066,0.0,1.6060334667563438,0.10498414933681488,0.03745177388191223,0.008101359009742737,0.004273425787687302,0.0,0.0,4.540911231189966
target-only-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,10.0,4,10.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9521085470914841,0.9521085470914841,1.0,True,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,"{""sampling"": ""target_only"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123}",0.02909756824374199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890121228992939,0.890121228992939,0.0,0.004056379199028015,0.017198871821165085,0.008632943034172058,0.0,0.0,0.0,0.0,0.9521085470914841
traditional-spec-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,10.0,4,10.0,10.0,4,4,10.0,32,4,2,32,6,98,0.061224489795918366,26,0.9521085470914841,5.0015012212097645,0.19036455355721932,False,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,26,26,0,0.16129032380638364,0.1766435513577912,0.23076923076923078,0,0.0,7,"{""sampling"": ""traditional_speculative"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123, ""gamma"": 4, ""target_verify_mode"": ""batch"", ""upstream_reference"": ""feifeibear/LLMSpeculativeSampling sampling/speculative_sampling.py"", ""rejected_tokens"": 26, ""resample_count"": 26, ""bonus_sample_count"": 0, ""mean_checked_accept_prob"": 0.16129032380638364, ""mean_first_accept_prob"": 0.1766435513577912, ""first_token_accept_rate"": 0.23076923076923078, ""target_zero_at_draft_count"": 0, ""target_zero_at_draft_rate"": 0.0, ""state_update_mode"": ""target_only_step""}",0.07351712323725224,1.8624875880777836,0.0,0.26048000000000004,0.2600000000000001,0.00031359999999999987,392.0,0.00031359999999999987,0.2600000000000001,0.0001663999999999999,208.0,0.892321540042758,0.892321540042758,0.0,1.6823595687747002,0.12632686085999012,0.042273879051208496,0.009781841188669205,0.0042867157608270645,0.0,0.0,5.0015012212097645
target-only-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,20.0,4,10.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9521085470914841,0.9521085470914841,1.0,True,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,"{""sampling"": ""target_only"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123}",0.02909756824374199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890121228992939,0.890121228992939,0.0,0.004056379199028015,0.017198871821165085,0.008632943034172058,0.0,0.0,0.0,0.0,0.9521085470914841
traditional-spec-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,20.0,4,10.0,10.0,4,4,10.0,32,4,2,32,6,98,0.061224489795918366,26,0.9521085470914841,5.558915693312883,0.17127594653698855,False,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,26,26,0,0.16129032380638364,0.1766435513577912,0.23076923076923078,0,0.0,7,"{""sampling"": ""traditional_speculative"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123, ""gamma"": 4, ""target_verify_mode"": ""batch"", ""upstream_reference"": ""feifeibear/LLMSpeculativeSampling sampling/speculative_sampling.py"", ""rejected_tokens"": 26, ""resample_count"": 26, ""bonus_sample_count"": 0, ""mean_checked_accept_prob"": 0.16129032380638364, ""mean_first_accept_prob"": 0.1766435513577912, ""first_token_accept_rate"": 0.23076923076923078, ""target_zero_at_draft_count"": 0, ""target_zero_at_draft_rate"": 0.0, ""state_update_mode"": ""target_only_step""}",0.04802202992141247,1.8906597178429365,0.0,0.5204800000000002,0.5200000000000002,0.00031359999999999987,392.0,0.00031359999999999987,0.5200000000000002,0.0001663999999999999,208.0,0.9779326878488064,0.9779326878488064,0.0,1.867842759937048,0.13687250204384327,0.046026064082980156,0.01180419884622097,0.006902001798152924,0.0,0.0,5.558915693312883
target-only-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,50.0,4,10.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9521085470914841,0.9521085470914841,1.0,True,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,"{""sampling"": ""target_only"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123}",0.02909756824374199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890121228992939,0.890121228992939,0.0,0.004056379199028015,0.017198871821165085,0.008632943034172058,0.0,0.0,0.0,0.0,0.9521085470914841
traditional-spec-sampling,kv-cache,batch,qwen25-1p5b-local,/home/chajiahao/data/hf_models/Qwen2.5-1.5B,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,0,0,50.0,4,10.0,10.0,4,4,10.0,32,4,2,32,6,98,0.061224489795918366,26,0.9521085470914841,5.761545330286026,0.16525228779970697,False,False,ok,123,per-repeat,1.0,0,0.0,full_distribution,26,26,0,0.16129032380638364,0.1766435513577912,0.23076923076923078,0,0.0,7,"{""sampling"": ""traditional_speculative"", ""temperature"": 1.0, ""top_k"": 0, ""top_p"": 0.0, ""sampling_filter"": ""full_distribution"", ""seed"": 123, ""gamma"": 4, ""target_verify_mode"": ""batch"", ""upstream_reference"": ""feifeibear/LLMSpeculativeSampling sampling/speculative_sampling.py"", ""rejected_tokens"": 26, ""resample_count"": 26, ""bonus_sample_count"": 0, ""mean_checked_accept_prob"": 0.16129032380638364, ""mean_first_accept_prob"": 0.1766435513577912, ""first_token_accept_rate"": 0.23076923076923078, ""target_zero_at_draft_count"": 0, ""target_zero_at_draft_rate"": 0.0, ""state_update_mode"": ""target_only_step""}",0.07760878279805183,1.7499295193701982,0.0,1.3004800000000003,1.2999999999999994,0.00031359999999999987,392.0,0.00031359999999999987,1.2999999999999994,0.0001663999999999999,208.0,0.8067419361323118,0.8067419361323118,0.0,1.6023338232189417,0.11690856702625751,0.03572295606136322,0.014245476573705673,0.005691489204764366,0.0,0.0,5.761545330286026
