method_name,implementation,target_verify_mode,model_pair,target,draft,prompt_id,repeat,rtt_ms,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,max_new_tokens,draft_k,tree_width,generated_tokens,accepted_tokens,drafted_tokens,accept_rate,rounds,target_only_time,method_time,speedup_vs_target_only,matched_target_only,first_diff_index,extra_json,prefill_time,draft_generate_time,draft_structure_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,cloud_verify_time,target_verify_time,posterior_accept_time,cache_update_time,sampling_time,wasted_branch_time_or_tokens,total_decode_time
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,3.8911265023052692,0.24248703191871726,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.06011490523815155,1.062883798032999,0.0,0.00028159999999999985,0.0,0.00018559999999999996,232.0,0.00018559999999999996,0.0,9.599999999999998e-05,120.0,1.5057966690510511,1.5057966690510511,0.000104561448097229,1.2394775319844484,0.00555826723575592,0.0,3.8911265023052692
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,2.708223572000861,0.3484009688561874,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.06184419244527817,0.3644349444657564,0.0,0.00023039999999999983,0.0,0.00010879999999999999,136.0,0.00010879999999999999,0.0,0.00012159999999999995,152.0,0.9157633297145367,0.9157633297145367,0.0001506023108959198,1.3435806091874838,0.0040122028440237045,0.0,2.708223572000861
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,3.9760701954364777,0.23730660425643854,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.049669815227389336,1.0578098949044943,0.0,0.07528160000000002,0.07500000000000002,0.00018559999999999996,232.0,0.00018559999999999996,0.07500000000000002,9.599999999999998e-05,120.0,1.5434626005589962,1.5434626005589962,0.00010481849312782288,1.223254170268774,0.006794087588787079,0.0,3.9760701954364777
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,2.814586838707328,0.33523489252071303,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.049384891986846924,0.3523671608418226,0.0,0.09523040000000003,0.09500000000000004,0.00010879999999999999,136.0,0.00010879999999999999,0.09500000000000004,0.00012159999999999995,152.0,0.9399804435670376,0.9399804435670376,0.00017105229198932648,1.3514033444225788,0.00469701923429966,0.0,2.814586838707328
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,10.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,10.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,4.163376517593861,0.22663040740537416,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.049306729808449745,1.0388009808957577,0.0,0.15028159999999996,0.15000000000000005,0.00018559999999999996,232.0,0.00018559999999999996,0.15000000000000005,9.599999999999998e-05,120.0,1.57579399459064,1.57579399459064,0.0001413971185684204,1.3208446204662323,0.007040420547127724,0.0,4.163376517593861
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,10.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,3.169562194496393,0.29769023557973856,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.050076089799404144,0.37543266639113426,0.0,0.1902303999999999,0.19000000000000009,0.00010879999999999999,136.0,0.00010879999999999999,0.19000000000000009,0.00012159999999999995,152.0,1.0320524368435144,1.0320524368435144,0.00017159804701805115,1.4923473354429007,0.005341582000255585,0.0,3.169562194496393
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,20.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
