method,rtt_ms,method_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,upload_wait_share_percent,upload_wait_per_round_ms,upload_wait_per_generated_token_ms,speedup_vs_target_only
dsd-adaptive-draft / kv-cache,0.0,2.3742668092871706,0.00019295999999994,0.0,0.00010527999999992,131.6,0.00010527999999992,0.0,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,0.00812714052376753,0.014084671532842336,0.006029999999998125,0.34979185451149014
dsd-adaptive-draft / kv-cache,5.0,2.5072402083004515,0.06869295999999994,0.0685,0.00010527999999992,131.6,0.00010527999999992,0.0685,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,2.739783757957675,5.014084671532842,2.146654999999998,0.33161331361877816
dsd-adaptive-draft / kv-cache,10.0,2.6470877808208266,0.13719295999999995,0.137,0.00010527999999992,131.6,0.00010527999999992,0.137,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,5.182788458849606,10.014084671532842,4.287279999999998,0.31418033064492573
dsd-adaptive-draft / kv-cache,20.0,2.9224784199148415,0.27419296,0.2740000000000001,0.00010527999999992,131.6,0.00010527999999992,0.2740000000000001,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,9.382206490612504,20.01408467153285,8.568529999999999,0.2862037364220539
dsd-adaptive-draft / kv-cache,50.0,3.1490940919766826,0.68519296,0.6850000000000003,0.00010527999999992,131.6,0.00010527999999992,0.6850000000000003,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,21.758414959583032,50.01408467153284,21.41228,0.26532265861667736
dsd-adaptive-draft / kv-cache,100.0,3.914808745495975,1.3701929600000002,1.3700000000000006,0.00010527999999992,131.6,0.00010527999999992,1.3700000000000006,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,35.00025286232489,100.01408467153287,42.81853000000001,0.21554843378831925
dsd-adaptive-draft / kv-cache,150.0,4.636350552986065,2.0551929599999994,2.055,0.00010527999999992,131.6,0.00010527999999992,2.055,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,44.32781638300283,150.01408467153283,64.22477999999998,0.18270324245535455
dsd-adaptive-draft / kv-cache,200.0,5.310665975386898,2.74019296,2.740000000000001,0.00010527999999992,131.6,0.00010527999999992,2.740000000000001,8.767999999998e-05,109.6,sequential,4,0.0,10.0,4,4,10.0,51.59791583013972,200.01408467153283,85.63103,0.16048292766772634
target-only / kv-cache,0.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,5.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,10.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,20.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,50.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,100.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,150.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,200.0,0.8301763997723659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
vanilla-spec / kv-cache,0.0,3.1899352273593347,0.00024351999999990998,0.0,0.00016159999999994001,202.0,0.00016159999999994001,0.0,8.191999999997998e-05,102.4,sequential,4,0.0,10.0,4,4,10.0,0.007634010807219389,0.019024999999992968,0.007609999999997187,0.2724534395984352
vanilla-spec / kv-cache,5.0,3.3002355357632043,0.06424351999999998,0.064,0.00016159999999994001,202.0,0.00016159999999994001,0.064,8.191999999997998e-05,102.4,sequential,4,0.0,10.0,4,4,10.0,1.9466343933280263,5.019024999999998,2.0076099999999997,0.26330219623097484
vanilla-spec / kv-cache,10.0,3.4325979609042405,0.12824351999999992,0.128,0.00016159999999994001,202.0,0.00016159999999994001,0.128,8.191999999997998e-05,102.4,sequential,4,0.0,10.0,4,4,10.0,3.7360483651344083,10.019024999999992,4.007609999999997,0.25403151625449655
vanilla-spec / kv-cache,20.0,3.6285243947058916,0.25624351999999995,0.25600000000000006,0.00016159999999994001,202.0,0.00016159999999994001,0.25600000000000006,8.191999999997998e-05,102.4,sequential,4,0.0,10.0,4,4,10.0,7.06192082858436,20.019024999999996,8.007609999999998,0.24095521937080383
vanilla-spec / kv-cache,50.0,3.9264040537178517,0.64024352,0.6400000000000002,0.00016159999999994001,202.0,0.00016159999999994001,0.6400000000000002,8.191999999997998e-05,102.4,sequential,4,0.0,10.0,4,4,10.0,16.306103784549713,50.01902499999999,20.00761,0.22277890775815432
vanilla-spec / kv-cache,100.0,4.606650405501326,1.28024352,1.2800000000000005,0.00016159999999994001,202.0,0.00016159999999994001,1.2800000000000005,8.191999999997998e-05,102.4,sequential,4,0.0,10.0,4,4,10.0,27.79120200810366,100.019025,40.00761,0.19042700294823942
