method,rtt_ms,method_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,upload_wait_share_percent,upload_wait_per_round_ms,upload_wait_per_generated_token_ms,speedup_vs_target_only
target-only-sampling / kv-cache,0.0,0.952108547091484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,123,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9761549457907676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,10130,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9313504695892334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,20137,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.25751412846148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1000126,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9571876004338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1010133,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9851565752178432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1020140,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.935472384095192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2000129,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9713849276304244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2010136,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9912082776427268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2020143,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9327530656009912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3000132,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.3460441455245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3010139,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.0139182601124048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3020146,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9563081879168748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4000135,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9544175527989864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4010142,per-repeat,0.0,0.0,0.0,1.0
