method,rtt_ms,method_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,upload_wait_share_percent,upload_wait_per_round_ms,upload_wait_per_generated_token_ms,speedup_vs_target_only
dsd-adaptive-draft / kv-cache,0.0,2.8670806641379993,0.00020255999999991,0.0,0.00011935999999997,149.2,0.00011935999999997,0.0,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,0.007065026196631638,0.01558153846153154,0.006329999999997188,0.3143334379856785
dsd-adaptive-draft / kv-cache,5.0,2.9656594479456544,0.06520255999999996,0.065,0.00011935999999997,149.2,0.00011935999999997,0.065,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,2.1985855471425255,5.015581538461536,2.037579999999999,0.30367855993005044
dsd-adaptive-draft / kv-cache,10.0,3.1025180236746865,0.13020255999999994,0.13,0.00011935999999997,149.2,0.00011935999999997,0.13,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,4.19667376648421,10.015581538461532,4.068829999999998,0.2905847500571518
dsd-adaptive-draft / kv-cache,20.0,3.318767808439831,0.26020255999999997,0.26,0.00011935999999997,149.2,0.00011935999999997,0.26,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,7.840336384434273,20.015581538461536,8.131329999999998,0.2712215006066863
dsd-adaptive-draft / kv-cache,50.0,3.593086537408332,0.65020256,0.6500000000000002,0.00011935999999997,149.2,0.00011935999999997,0.6500000000000002,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,18.095933766988715,50.01558153846153,20.31883,0.25099981386872794
dsd-adaptive-draft / kv-cache,100.0,4.261643211605648,1.30020256,1.3000000000000005,0.00011935999999997,149.2,0.00011935999999997,1.3000000000000005,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,30.50941844355211,100.01558153846155,40.63133,0.2120904011013998
dsd-adaptive-draft / kv-cache,150.0,4.9433273122335475,1.9502025599999995,1.95,0.00011935999999997,149.2,0.00011935999999997,1.95,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,39.451212449026315,150.0155815384615,60.943829999999984,0.18293709466435937
dsd-adaptive-draft / kv-cache,200.0,5.63847526765118,2.6002025599999996,2.600000000000001,0.00011935999999997,149.2,0.00011935999999997,2.600000000000001,8.319999999999e-05,104.0,sequential,4,0.0,10.0,4,4,10.0,46.11534921360338,200.0155815384615,81.25632999999999,0.160579755296206
target-only / kv-cache,0.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,5.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,10.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,20.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,50.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,100.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,150.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
target-only / kv-cache,200.0,0.8975890961786112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sequential,4,0.0,10.0,4,4,10.0,0.0,0.0,0.0,1.0
vanilla-spec / kv-cache,0.0,3.235548409074545,0.0002163199999999,0.0,0.00014143999999996,176.8,0.00014143999999996,0.0,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,0.006685729052707125,0.018488888888880343,0.006759999999996875,0.2806785508645893
vanilla-spec / kv-cache,5.0,3.3131485202039284,0.05871631999999997,0.0585,0.00014143999999996,176.8,0.00014143999999996,0.0585,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,1.7722211860392516,5.018488888888887,1.834884999999999,0.2735451654416193
vanilla-spec / kv-cache,10.0,3.3993950907761854,0.1172163199999999,0.117,0.00014143999999996,176.8,0.00014143999999996,0.117,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,3.448152299744477,10.018488888888882,3.6630099999999968,0.2667569400189034
vanilla-spec / kv-cache,20.0,3.5846154015511273,0.2342163199999999,0.234,0.00014143999999996,176.8,0.00014143999999996,0.234,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,6.533931642949765,20.01848888888888,7.319259999999996,0.25314095218535543
vanilla-spec / kv-cache,50.0,3.8746071797485153,0.58521632,0.5850000000000002,0.00014143999999996,176.8,0.00014143999999996,0.5850000000000002,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,15.103887771094874,50.018488888888896,18.28801,0.2343698405274493
vanilla-spec / kv-cache,100.0,4.484762159983317,1.17021632,1.1700000000000006,0.00014143999999996,176.8,0.00014143999999996,1.1700000000000006,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,26.093163433316896,100.0184888888889,36.56926,0.20292856106195584
vanilla-spec / kv-cache,150.0,5.068846382883688,1.7552163199999997,1.7549999999999997,0.00014143999999996,176.8,0.00014143999999996,1.7549999999999997,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,34.6275303573404,150.0184888888889,54.85050999999999,0.17938180730172884
vanilla-spec / kv-cache,200.0,5.713289935576419,2.34021632,2.3400000000000007,0.00014143999999996,176.8,0.00014143999999996,2.3400000000000007,7.488e-05,93.6,sequential,4,0.0,10.0,4,4,10.0,40.96092350271899,200.0184888888889,73.13176,0.15914152013417743
